split,seed,strategy,lang,S,D,I,N,records,WER,label
DEV,303,Text,ar,1240,89,32,5325,295,25.558685446009388,EXACT_REUSE
DEV,303,Text+Global,ar,1234,90,32,5325,295,25.464788732394368,EXACT_REUSE
DEV,303,ConfDupClean,ar,1303,90,34,5325,295,26.7981220657277,POST_REVIEW_DIAGNOSTIC
DEV,303,ConfPerm,ar,1298,90,33,5325,295,26.685446009389672,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Conf,ar,1309,92,33,5325,295,26.929577464788732,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Global,ar,1294,91,33,5325,295,26.629107981220656,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Text,ar,1247,90,32,5325,295,25.708920187793428,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Text+Global,ar,1248,90,32,5325,295,25.727699530516432,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Conf,ar,1297,85,38,5325,295,26.666666666666668,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Global,ar,1274,86,36,5325,295,26.215962441314552,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Text,ar,1219,83,36,5325,295,25.12676056338028,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Text+Global,ar,1215,84,37,5325,295,25.089201877934272,POST_REVIEW_DIAGNOSTIC
DEV,303,Conf,fa,2141,350,290,8170,369,34.03916768665851,EXACT_REUSE
DEV,303,Global,fa,2127,351,288,8170,369,33.85556915544676,EXACT_REUSE
DEV,303,Text,fa,2052,347,289,8170,369,32.90085679314566,EXACT_REUSE
DEV,303,Text+Global,fa,2049,348,289,8170,369,32.87637698898409,EXACT_REUSE
DEV,303,ConfDupClean,fa,2141,350,290,8170,369,34.03916768665851,POST_REVIEW_DIAGNOSTIC
DEV,303,ConfPerm,fa,2127,351,288,8170,369,33.85556915544676,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Conf,fa,2141,352,365,8170,369,34.981640146878824,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Global,fa,2125,353,361,8170,369,34.749082007343944,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Text,fa,2057,348,364,8170,369,33.89228886168911,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Text+Global,fa,2056,351,363,8170,369,33.90452876376989,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Conf,fa,2121,332,388,8170,369,34.77356181150551,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Global,fa,2111,332,396,8170,369,34.749082007343944,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Text,fa,2031,330,381,8170,369,33.561811505507954,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Text+Global,fa,2027,334,380,8170,369,33.549571603427175,POST_REVIEW_DIAGNOSTIC
DEV,303,Conf,pl,745,83,70,5938,338,15.122937015830246,EXACT_REUSE
DEV,303,Global,pl,736,84,68,5938,338,14.95453014482991,EXACT_REUSE
DEV,303,Text,pl,690,80,68,5938,338,14.112495789828225,EXACT_REUSE
DEV,303,Text+Global,pl,689,79,67,5938,338,14.061973728528123,EXACT_REUSE
DEV,303,ConfDupClean,pl,745,83,70,5938,338,15.122937015830246,POST_REVIEW_DIAGNOSTIC
DEV,303,ConfPerm,pl,736,84,68,5938,338,14.95453014482991,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Conf,pl,750,87,70,5938,338,15.27450319973055,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Global,pl,736,85,68,5938,338,14.971370831929942,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Text,pl,691,81,69,5938,338,14.163017851128327,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Text+Global,pl,691,82,68,5938,338,14.163017851128327,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Conf,pl,747,74,84,5938,338,15.240821825530482,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Global,pl,730,70,86,5938,338,14.920848770629842,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Text,pl,669,68,72,5938,338,13.624115863927248,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Text+Global,pl,666,68,70,5938,338,13.53991242842708,POST_REVIEW_DIAGNOSTIC
DEV,303,Conf,tr,654,87,67,5463,338,14.790408200622368,EXACT_REUSE
DEV,303,Global,tr,639,90,65,5463,338,14.534138751601684,EXACT_REUSE
DEV,303,Text,tr,588,82,64,5463,338,13.435841112941608,EXACT_REUSE
DEV,303,Text+Global,tr,584,82,63,5463,338,13.344316309719934,EXACT_REUSE
DEV,303,ConfDupClean,tr,654,87,67,5463,338,14.790408200622368,POST_REVIEW_DIAGNOSTIC
DEV,303,ConfPerm,tr,639,90,65,5463,338,14.534138751601684,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Conf,tr,651,88,65,5463,338,14.71718835804503,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Global,tr,637,90,63,5463,338,14.460918909024345,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Text,tr,590,87,63,5463,338,13.545670876807614,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Text+Global,tr,587,87,62,5463,338,13.472451034230277,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Conf,tr,645,74,78,5463,338,14.589053633534688,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Global,tr,641,71,76,5463,338,14.424308987735676,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Text,tr,577,68,73,5463,338,13.142961742632254,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Text+Global,tr,585,66,74,5463,338,13.271096467142595,POST_REVIEW_DIAGNOSTIC
DEV,303,Conf,it,502,105,47,8758,391,7.4674583238182235,EXACT_REUSE
DEV,303,Global,it,486,102,46,8758,391,7.239095683946107,EXACT_REUSE
DEV,303,Text,it,434,105,46,8758,391,6.67960721625942,EXACT_REUSE
DEV,303,Text+Global,it,431,102,44,8758,391,6.588262160310573,EXACT_REUSE
DEV,303,ConfDupClean,it,502,105,47,8758,391,7.4674583238182235,POST_REVIEW_DIAGNOSTIC
DEV,303,ConfPerm,it,486,102,46,8758,391,7.239095683946107,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Conf,it,510,108,46,8758,391,7.581639643754282,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Global,it,498,105,47,8758,391,7.4217857958438,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Text,it,454,107,44,8758,391,6.907969856131537,POST_REVIEW_DIAGNOSTIC
DEV,303,A_Text+Global,it,452,103,44,8758,391,6.839461064169901,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Conf,it,497,96,62,8758,391,7.478876455811829,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Global,it,487,92,61,8758,391,7.307604475907741,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Text,it,418,89,48,8758,391,6.337063256451245,POST_REVIEW_DIAGNOSTIC
DEV,303,B_Text+Global,it,424,89,49,8758,391,6.4169901804064855,POST_REVIEW_DIAGNOSTIC
TEST,101,Conf,ar,1893,139,65,8007,428,26.189584113900338,EXACT_REUSE
TEST,101,Global,ar,1885,140,64,8007,428,26.089671537404772,EXACT_REUSE
TEST,101,Text,ar,1795,136,66,8007,428,24.940676907705758,EXACT_REUSE
TEST,101,Text+Global,ar,1794,136,63,8007,428,24.890720619457973,EXACT_REUSE
TEST,101,ConfDupClean,ar,1893,139,65,8007,428,26.189584113900338,POST_REVIEW_DIAGNOSTIC
TEST,101,ConfPerm,ar,1886,140,64,8007,428,26.102160609466715,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Conf,ar,1903,139,65,8007,428,26.314474834519796,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Global,ar,1891,141,63,8007,428,26.164605969776446,POST_REVIEW_DIAGNOSTIC
